time,Tin,RHin,Tout,RHout,Voltage,Current
2274,26.60,69.80,26.80,65.80,0.07,-0.11
2498,26.60,69.80,26.80,65.80,0.27,-0.04
2722,26.60,69.80,26.80,65.80,0.22,0.11
2946,26.60,69.80,26.80,65.80,0.24,-0.04
3170,26.60,69.80,26.80,65.80,0.22,-0.04
3397,26.60,69.80,26.80,65.80,0.24,-0.11
3621,26.60,69.80,26.80,65.80,0.22,-0.04
3846,26.60,69.80,26.80,65.80,0.22,0.04
4070,26.60,69.80,26.80,65.80,0.24,-0.04
4300,26.70,69.90,26.80,67.30,0.07,-0.11
4525,26.70,69.90,26.80,67.30,0.24,-0.04
4749,26.70,69.90,26.80,67.30,0.24,0.04
4972,26.70,69.90,26.80,67.30,0.22,-0.11
5196,26.70,69.90,26.80,67.30,0.24,-0.04
5421,26.70,69.90,26.80,67.30,0.27,-0.11
5645,26.70,69.90,26.80,67.30,0.24,-0.04
5869,26.70,69.90,26.80,67.30,0.22,-0.11
6122,26.70,69.90,26.80,67.30,0.22,-0.04
6355,26.60,69.80,26.80,67.20,0.10,-0.04
6579,26.60,69.80,26.80,67.20,0.24,-0.11
6803,26.60,69.80,26.80,67.20,0.22,0.04
7027,26.60,69.80,26.80,67.20,0.22,-0.04
7251,26.60,69.80,26.80,67.20,0.22,-0.04
7476,26.60,69.80,26.80,67.20,0.22,-0.11
7700,26.60,69.80,26.80,67.20,0.22,-0.04
7924,26.60,69.80,26.80,67.20,0.22,-0.04
8148,26.60,69.80,26.80,67.20,0.22,-0.11
8379,26.60,69.80,26.90,67.30,0.07,-0.04
8603,26.60,69.80,26.90,67.30,0.24,0.04
8827,26.60,69.80,26.90,67.30,0.22,0.04
9054,26.60,69.80,26.90,67.30,0.22,-0.04
9278,26.60,69.80,26.90,67.30,0.22,-0.11
9502,26.60,69.80,26.90,67.30,0.22,-0.04
9726,26.60,69.80,26.90,67.30,0.22,-0.04
9951,26.60,69.80,26.90,67.30,0.22,0.04
10175,26.60,69.80,26.90,67.30,0.22,0.04
10405,26.70,69.90,26.80,67.20,0.10,-0.19
10630,26.70,69.90,26.80,67.20,0.24,-0.04
10854,26.70,69.90,26.80,67.20,0.22,-0.04
11078,26.70,69.90,26.80,67.20,0.22,-0.11
11302,26.70,69.90,26.80,67.20,0.22,-0.11
11555,26.70,69.90,26.80,67.20,0.22,-0.11
11780,26.70,69.90,26.80,67.20,0.22,-0.04
12001,26.70,69.90,26.80,67.20,0.22,-0.11
12225,26.70,69.90,26.80,67.20,0.22,0.04
12456,26.70,69.90,26.90,67.30,0.07,-0.04
12681,26.70,69.90,26.90,67.30,0.24,-0.04
12905,26.70,69.90,26.90,67.30,0.24,-0.04
13129,26.70,69.90,26.90,67.30,0.22,0.04
13353,26.70,69.90,26.90,67.30,0.22,0.04
13577,26.70,69.90,26.90,67.30,0.22,-0.04
13801,26.70,69.90,26.90,67.30,0.17,-0.04
14025,26.70,69.90,26.90,67.30,0.15,0.11
14249,26.70,69.90,26.90,67.30,0.24,0.04
14481,26.60,69.80,26.90,67.30,0.00,-0.11
